WeightNotOver_Lbs,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
20,109.11,88.27,106.56,125.68,106.79,120.85,143.04,123.45,115.1,162.89,101.73,124.1,99.13,142.76,112.87,98.95,97.46
21,111.81,89.55,108.19,128.29,108.78,123.43,146.38,126.09,117.46,164.3,103.23,126.27,100.75,145.73,114.98,100.75,99.28
22,115.71,91.8,110.99,132.28,111.95,127.33,151.29,130.08,121.08,170.94,105.85,129.81,103.46,150.28,118.33,103.64,102.17
23,119.62,94.05,113.79,136.28,115.12,131.23,156.2,134.07,124.71,177.58,108.46,133.34,106.17,154.82,121.68,106.53,105.07
24,123.52,96.3,116.59,140.27,118.28,135.13,161.11,138.07,128.34,184.22,111.08,136.87,108.87,159.36,125.03,109.43,107.96
25,127.42,98.55,119.39,144.26,121.45,139.03,166.02,142.06,131.96,190.86,113.69,140.41,111.58,163.91,128.38,112.32,110.85
26,131.32,100.8,122.19,148.26,124.62,142.93,170.93,146.05,135.59,197.47,116.31,143.94,114.29,168.45,131.73,115.21,113.74
27,135.22,103.05,124.99,152.25,127.79,146.83,175.84,150.05,139.21,203.24,118.93,147.48,117,173,135.08,118.1,116.63
28,139.12,105.29,127.79,156.24,130.95,150.74,180.75,154.04,142.84,209,121.54,151.01,119.71,177.54,138.43,120.99,119.52
29,143.02,107.54,130.59,160.24,134.12,154.64,185.67,158.03,146.47,214.76,124.16,154.55,122.42,182.09,141.79,123.88,122.42
30,146.93,109.79,133.39,164.23,137.29,158.54,190.58,162.03,150.09,220.52,126.78,158.08,125.12,186.63,145.14,126.78,125.31
31,150.18,112.04,136.19,168.22,140.45,162.44,195.49,166.02,153.72,226.29,129.39,161.61,127.83,191.17,148.49,129.67,128.2
32,153.44,114.29,138.99,172.22,143.62,166.34,200.4,170.01,157.35,232.05,132.01,165.15,130.54,196.22,151.84,132.56,131.09
33,156.7,116.54,141.79,176.21,146.79,170.24,205.31,174.01,160.97,237.81,134.62,168.68,133.25,201.74,155.19,135.45,133.98
34,159.96,118.79,144.59,180.2,149.96,174.14,210.22,178,164.6,243.58,137.24,172.22,135.96,207.25,158.54,138.34,136.87
35,163.22,121.04,147.38,184.2,153.12,178.05,215.13,181.99,168.22,249.34,139.86,175.75,138.66,212.77,161.89,141.23,139.77
36,166.48,123.29,150.18,188.19,156.29,181.95,220.04,185.99,171.85,255.1,142.47,179.29,141.37,218.29,165.24,144.13,142.66
37,169.74,125.54,152.98,192.18,159.46,185.85,224.96,189.98,175.48,260.87,145.09,182.82,144.08,223.81,168.59,147.02,145.55
38,173,127.79,155.78,196.18,162.62,189.75,229.87,193.97,179.1,266.63,147.71,186.35,146.79,229.33,171.94,149.91,148.44
39,176.26,130.03,158.58,200.17,165.79,193.65,234.78,197.97,182.73,272.39,150.32,189.89,149.5,234.84,175.29,152.8,151.33
40,179.51,132.28,161.38,204.16,168.96,197.55,239.69,201.96,186.35,278.15,152.94,193.42,152.2,240.36,178.64,155.69,154.22
41,182.77,134.53,164.18,208.16,172.13,201.46,244.6,205.95,189.98,283.92,155.56,196.96,154.91,245.88,181.99,158.58,157.12
42,186.03,136.78,166.98,212.15,175.29,205.36,249.51,209.95,193.61,289.68,158.17,200.49,157.62,251.4,185.34,161.48,160.01
43,189.29,139.03,169.78,216.14,178.46,209.26,254.42,213.94,197.23,295.44,160.79,204.03,160.33,256.92,188.69,164.37,162.9
44,192.55,141.28,172.58,220.14,181.63,213.16,259.33,217.93,200.86,301.21,163.4,207.56,163.04,262.43,192.05,167.26,165.79
45,195.81,143.53,175.38,224.13,184.79,217.06,264.25,221.93,204.48,306.97,166.02,211.09,165.74,267.95,195.4,170.15,168.68
46,199.07,145.78,178.18,228.12,187.96,220.96,269.16,225.92,208.11,312.73,168.64,214.63,168.45,273.47,198.75,173.04,171.57
47,202.33,148.03,180.98,232.12,191.13,224.86,274.07,229.91,211.74,318.5,171.25,218.16,171.16,278.99,202.1,175.93,174.47
48,205.59,150.28,183.78,236.11,194.29,228.77,278.98,233.91,215.36,324.26,173.87,221.7,173.87,284.51,205.45,178.83,177.36
49,208.85,152.53,186.58,240.1,197.46,232.67,283.89,237.9,218.99,330.02,176.49,225.23,176.58,290.03,208.8,181.72,180.25
50,212.1,154.78,189.38,244.1,200.63,236.57,288.8,241.89,222.62,335.78,179.1,228.77,179.29,295.54,212.15,184.61,183.14
51,215.36,157.03,192.18,248.09,203.8,240.47,293.71,245.89,226.24,341.55,181.72,232.3,181.99,301.06,215.5,187.5,186.03
52,218.62,159.28,194.98,252.08,206.96,244.37,298.63,249.88,229.87,347.31,184.33,235.83,184.7,306.58,218.85,190.39,188.92
53,221.88,161.53,197.78,256.08,210.13,248.27,303.54,253.87,233.49,353.07,186.95,239.37,187.41,312.1,222.2,193.28,191.82
54,225.14,163.78,200.58,260.07,213.3,252.17,308.45,257.87,237.12,358.84,189.57,242.9,190.12,317.62,225.55,196.18,194.71
55,228.4,166.03,203.38,264.06,216.46,256.08,313.36,261.86,240.75,364.6,192.18,246.44,192.83,323.13,228.9,199.07,197.6
56,231.66,168.28,206.18,268.06,219.63,259.98,318.27,265.85,244.37,370.36,194.8,249.97,195.53,328.65,232.25,201.96,200.49
57,234.92,170.53,208.98,272.05,222.8,263.88,323.18,269.85,248,376.13,197.42,253.51,198.24,334.17,235.6,204.85,203.38
58,238.18,172.78,211.78,276.04,225.97,267.78,328.09,273.84,251.62,381.89,200.03,257.04,200.95,339.69,238.96,207.74,206.27
59,241.43,175.03,214.58,280.04,229.13,271.68,333,277.83,255.25,387.65,202.65,260.57,203.66,345.21,242.31,210.64,209.17
60,244.69,177.28,217.38,284.03,232.3,275.58,337.92,281.83,258.88,393.41,205.26,264.11,206.37,350.72,245.66,213.53,212.06
61,248.42,179.53,220.18,288.02,235.47,279.49,342.83,285.82,262.5,399.18,207.88,267.64,209.07,356.24,249.01,216.42,214.95
62,252.2,181.78,222.98,292.02,238.63,283.39,347.74,289.81,266.13,404.94,210.5,271.18,211.78,361.76,252.36,219.31,217.84
63,255.98,184.03,225.78,296.01,241.8,287.29,352.65,293.81,269.75,410.7,213.11,274.71,214.49,367.28,255.71,222.2,220.73
64,259.75,186.28,228.58,300,244.97,291.19,357.56,297.8,273.38,416.47,215.73,278.25,217.2,372.8,259.06,225.09,223.62
65,263.53,188.53,231.38,304,248.14,295.09,362.47,301.79,277.01,422.23,218.35,281.78,219.91,378.31,262.41,227.99,226.52
66,267.31,190.78,234.18,307.99,251.3,298.99,367.38,305.79,280.63,427.99,220.96,285.31,222.62,383.83,265.76,230.88,229.41
67,0,193.03,236.98,311.98,254.47,302.89,372.29,309.78,284.26,0,0,0,0,0,0,0,0
68,0,195.28,239.78,315.98,257.64,306.8,377.21,313.77,287.88,0,0,0,0,0,0,0,0
69,0,197.53,242.58,319.97,260.8,310.7,382.12,317.77,291.51,0,0,0,0,0,0,0,0
70,0,199.78,245.38,323.96,263.97,314.6,387.03,321.76,295.14,0,0,0,0,0,0,0,0
